threshold,accuracy,precision,recall,f1_score,sensitivity,specificity,ppv,npv,true_positives,true_negatives,false_positives,false_negatives
0.1,0.5,0.5,1.0,0.6666666666666666,1.0,0.0,0.5,0.0,40,0,40,0
0.21999999999999995,0.575,0.5405405405405406,1.0,0.7017543859649124,1.0,0.15,0.5405405405405406,1.0,40,6,34,0
0.2799999999999999,0.6,0.5625,0.9,0.6923076923076923,0.9,0.3,0.5625,0.75,36,12,28,4
0.3,0.5875,0.5573770491803278,0.85,0.6732673267326733,0.85,0.325,0.5573770491803278,0.6842105263157895,34,13,27,6
0.4,0.4625,0.46511627906976744,0.5,0.4819277108433735,0.5,0.425,0.46511627906976744,0.4594594594594595,20,17,23,20
0.5,0.425,0.38461538461538464,0.25,0.30303030303030304,0.25,0.6,0.38461538461538464,0.4444444444444444,10,24,16,30
0.6,0.375,0.1875,0.075,0.10714285714285712,0.075,0.675,0.1875,0.421875,3,27,13,37
0.7,0.375,0.0,0.0,0.0,0.0,0.75,0.0,0.42857142857142855,0,30,10,40
